time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:08:11.749416,[],0,"(41602, 26, 800, 41341, 0, 800, 41628, 30, 800)"
2025/04/18/03:08:11.850294,[],0,"(41602, 26, 900, 41341, 0, 900, 41628, 30, 900)"
2025/04/18/03:08:11.947430,[],0,"(41602, 26, 70, 41341, 0, 70, 41628, 30, 70)"
2025/04/18/03:08:12.050035,[],0,"(41602, 26, 170, 41341, 0, 170, 41628, 30, 170)"
2025/04/18/03:08:12.146969,[],0,"(41602, 26, 270, 41341, 0, 270, 41628, 30, 270)"
2025/04/18/03:08:12.245778,[],0,"(41602, 26, 370, 41341, 0, 370, 41628, 30, 370)"
2025/04/18/03:08:12.345966,[],0,"(41602, 26, 470, 41341, 0, 470, 41628, 30, 470)"
2025/04/18/03:08:12.449127,[],0,"(41602, 26, 570, 41341, 0, 570, 41628, 30, 570)"
2025/04/18/03:08:12.551765,[],0,"(41602, 26, 680, 41341, 0, 680, 41628, 30, 680)"
2025/04/18/03:08:12.646741,[],0,"(41602, 26, 770, 41341, 0, 770, 41628, 30, 770)"
2025/04/18/03:08:12.745966,[],0,"(41602, 26, 870, 41341, 0, 870, 41628, 30, 870)"
2025/04/18/03:08:12.851749,[],0,"(41602, 26, 980, 41341, 0, 980, 41628, 30, 980)"
2025/04/18/03:08:12.946238,[],0,"(41602, 26, 70, 41341, 0, 70, 41628, 31, 70)"
2025/04/18/03:08:13.046000,[],0,"(41602, 26, 170, 41341, 0, 170, 41628, 31, 170)"
2025/04/18/03:08:13.145904,[],0,"(41602, 26, 270, 41341, 0, 270, 41628, 31, 270)"
2025/04/18/03:08:13.247588,[],0,"(41602, 26, 370, 41341, 0, 370, 41628, 31, 370)"
2025/04/18/03:08:13.346077,[],0,"(41602, 26, 470, 41341, 0, 470, 41628, 31, 470)"
2025/04/18/03:08:13.452333,[],0,"(41602, 26, 580, 41341, 0, 580, 41628, 31, 580)"
2025/04/18/03:08:13.551363,[],0,"(41602, 26, 680, 41341, 0, 680, 41628, 31, 680)"
2025/04/18/03:08:13.650009,[],0,"(41602, 26, 780, 41341, 0, 780, 41628, 31, 780)"
2025/04/18/03:08:13.746654,[],0,"(41602, 26, 870, 41341, 0, 870, 41628, 31, 870)"
2025/04/18/03:08:13.847825,[],0,"(41602, 26, 970, 41341, 0, 970, 41628, 31, 970)"
2025/04/18/03:08:13.946593,[],0,"(41602, 26, 70, 41341, 0, 70, 41628, 31, 70)"
2025/04/18/03:08:14.046530,[],0,"(41602, 26, 170, 41341, 0, 170, 41628, 31, 170)"
2025/04/18/03:08:14.146713,[],0,"(41602, 26, 270, 41341, 0, 270, 41628, 31, 270)"
2025/04/18/03:08:14.246960,[],0,"(41602, 26, 370, 41341, 0, 370, 41628, 31, 370)"
2025/04/18/03:08:14.347400,[],0,"(41602, 26, 470, 41341, 0, 470, 41628, 31, 470)"
2025/04/18/03:08:14.446648,[],0,"(41602, 26, 570, 41341, 0, 570, 41628, 31, 570)"
2025/04/18/03:08:14.546527,[],0,"(41602, 26, 670, 41341, 0, 670, 41628, 31, 670)"
2025/04/18/03:08:14.646446,[],0,"(41602, 26, 770, 41341, 0, 770, 41628, 31, 770)"
2025/04/18/03:08:14.746432,[],0,"(41602, 26, 870, 41341, 0, 870, 41628, 31, 870)"
2025/04/18/03:08:14.846900,[],0,"(41602, 26, 970, 41341, 0, 970, 41628, 31, 970)"
2025/04/18/03:08:14.951360,[],0,"(41602, 25, 40, 41341, 0, 40, 41628, 31, 1080)"
2025/04/18/03:08:15.046590,[],0,"(41602, 26, 50, 41341, 0, 50, 41628, 31, 1170)"
2025/04/18/03:08:15.146086,[],0,"(41602, 26, 150, 41341, 0, 150, 41628, 31, 1270)"
2025/04/18/03:08:15.246248,[],0,"(41602, 26, 250, 41341, 0, 250, 41628, 31, 1370)"
2025/04/18/03:08:15.346231,[],0,"(41602, 26, 350, 41341, 0, 350, 41628, 31, 1470)"
2025/04/18/03:08:15.446462,[],0,"(41602, 26, 450, 41341, 0, 450, 41628, 31, 1570)"
2025/04/18/03:08:15.545772,[],0,"(41602, 26, 550, 41341, 0, 550, 41628, 31, 1670)"
2025/04/18/03:08:15.646532,[],0,"(41602, 26, 650, 41341, 0, 650, 41628, 31, 1770)"
2025/04/18/03:08:15.752417,[],0,"(41602, 26, 760, 41341, 0, 760, 41628, 31, 1880)"
2025/04/18/03:08:15.846743,[],0,"(41602, 26, 850, 41341, 0, 850, 41628, 31, 1970)"
2025/04/18/03:08:15.946155,[],0,"(41602, 26, 40, 41341, 0, 40, 41628, 31, 2070)"
2025/04/18/03:08:16.046080,[],0,"(41602, 26, 140, 41341, 0, 140, 41628, 31, 2170)"
2025/04/18/03:08:16.146430,[],0,"(41602, 26, 240, 41341, 0, 240, 41628, 31, 2270)"
2025/04/18/03:08:16.249505,[],0,"(41602, 26, 340, 41341, 0, 340, 41628, 31, 2370)"
2025/04/18/03:08:16.350123,[],0,"(41602, 26, 440, 41341, 0, 440, 41628, 31, 2470)"
2025/04/18/03:08:16.446582,[],0,"(41602, 26, 540, 41341, 0, 540, 41628, 31, 2570)"
2025/04/18/03:08:16.547670,[],0,"(41602, 26, 640, 41341, 0, 640, 41628, 31, 2670)"
2025/04/18/03:08:16.646403,[],0,"(41602, 26, 740, 41341, 0, 740, 41628, 31, 2770)"
2025/04/18/03:08:16.746566,[],0,"(41602, 26, 840, 41341, 0, 840, 41628, 31, 2870)"
2025/04/18/03:08:16.847418,[],0,"(41602, 26, 940, 41341, 0, 940, 41628, 31, 2970)"
2025/04/18/03:08:16.945525,[],0,"(41602, 26, 40, 41341, 0, 40, 41628, 31, 3070)"
2025/04/18/03:08:17.049935,[],0,"(41602, 26, 140, 41341, 0, 140, 41628, 31, 3170)"
2025/04/18/03:08:17.150735,[],0,"(41602, 26, 240, 41341, 0, 80, 41628, 31, 3270)"
2025/04/18/03:08:17.246894,[],0,"(41602, 26, 340, 41341, 0, 180, 41628, 31, 3370)"
2025/04/18/03:08:17.345392,[],0,"(41602, 26, 440, 41341, 0, 280, 41628, 31, 3470)"
2025/04/18/03:08:17.445671,[],0,"(41602, 26, 540, 41341, 0, 380, 41628, 31, 3570)"
2025/04/18/03:08:17.546552,[],0,"(41602, 26, 640, 41341, 0, 480, 41628, 31, 3670)"
2025/04/18/03:08:17.651318,[],0,"(41602, 26, 750, 41341, 0, 590, 41628, 31, 3780)"
2025/04/18/03:08:17.749979,[],0,"(41602, 26, 850, 41341, 0, 690, 41628, 31, 3880)"
2025/04/18/03:08:17.846699,[],0,"(41602, 26, 940, 41341, 0, 780, 41628, 31, 3970)"
2025/04/18/03:08:17.946496,[],0,"(41602, 26, 1040, 41341, 0, 880, 41628, 31, 4070)"
2025/04/18/03:08:18.049696,[],0,"(41602, 24, 100, 41341, 0, 100, 41628, 31, 100)"
2025/04/18/03:08:18.147078,[],0,"(41602, 24, 190, 41341, 0, 190, 41628, 31, 190)"
2025/04/18/03:08:18.245895,[],0,"(41602, 24, 290, 41341, 0, 290, 41628, 31, 290)"
2025/04/18/03:08:18.347386,[],0,"(41602, 24, 390, 41341, 0, 390, 41628, 31, 390)"
2025/04/18/03:08:18.446692,[],0,"(41602, 24, 490, 41341, 0, 490, 41628, 31, 490)"
2025/04/18/03:08:18.550064,[],0,"(41602, 24, 590, 41341, 0, 590, 41628, 31, 590)"
2025/04/18/03:08:18.651349,[],0,"(41602, 24, 700, 41341, 0, 700, 41628, 31, 700)"
2025/04/18/03:08:18.751110,[],0,"(41602, 24, 790, 41341, 0, 790, 41628, 31, 790)"
2025/04/18/03:08:18.848027,[],0,"(41602, 24, 890, 41341, 0, 890, 41628, 31, 890)"
2025/04/18/03:08:18.947115,[],0,"(41602, 24, 990, 41341, 0, 990, 41628, 31, 990)"
2025/04/18/03:08:19.046970,[],0,"(41602, 24, 90, 41341, 0, 90, 41628, 31, 90)"
2025/04/18/03:08:19.148947,[],0,"(41602, 24, 190, 41341, 0, 190, 41628, 31, 190)"
2025/04/18/03:08:19.250224,[],0,"(41602, 24, 290, 41341, 0, 290, 41628, 31, 290)"
2025/04/18/03:08:19.347053,[],0,"(41602, 24, 390, 41341, 0, 390, 41628, 31, 390)"
2025/04/18/03:08:19.449944,[],0,"(41602, 24, 500, 41341, 0, 500, 41628, 31, 500)"
2025/04/18/03:08:19.545950,[],0,"(41602, 24, 590, 41341, 0, 590, 41628, 31, 590)"
2025/04/18/03:08:19.646168,[],0,"(41602, 24, 690, 41341, 0, 690, 41628, 31, 690)"
2025/04/18/03:08:19.749854,[],0,"(41602, 24, 790, 41341, 0, 790, 41628, 31, 790)"
2025/04/18/03:08:19.850104,[],0,"(41602, 24, 890, 41341, 0, 890, 41628, 31, 890)"
2025/04/18/03:08:19.946439,[],0,"(41602, 24, 990, 41341, 0, 90, 41628, 31, 990)"
2025/04/18/03:08:20.047507,[],0,"(41602, 24, 100, 41341, 0, 100, 41628, 31, 1090)"
2025/04/18/03:08:20.149943,[],0,"(41602, 24, 70, 41341, 0, 70, 41628, 31, 1190)"
2025/04/18/03:08:20.249880,[],0,"(41602, 24, 170, 41341, 0, 170, 41628, 31, 1290)"
2025/04/18/03:08:20.349786,[],0,"(41602, 24, 270, 41341, 0, 270, 41628, 31, 1390)"
2025/04/18/03:08:20.451835,[],0,"(41602, 24, 380, 41341, 0, 380, 41628, 31, 1500)"
2025/04/18/03:08:20.546978,[],0,"(41602, 24, 470, 41341, 0, 470, 41628, 31, 1590)"
2025/04/18/03:08:20.647935,[],0,"(41602, 24, 570, 41341, 0, 570, 41628, 31, 1690)"
2025/04/18/03:08:20.747137,[],0,"(41602, 24, 670, 41341, 0, 670, 41628, 31, 1790)"
2025/04/18/03:08:20.846398,[],0,"(41602, 24, 770, 41341, 0, 770, 41628, 31, 1890)"
2025/04/18/03:08:20.945819,[],0,"(41602, 24, 870, 41341, 0, 870, 41628, 31, 1990)"
2025/04/18/03:08:21.046362,[],0,"(41602, 24, 10, 41341, 0, 10, 41628, 31, 2090)"
2025/04/18/03:08:21.155668,[],0,"(41602, 24, 120, 41341, 0, 120, 41628, 31, 2200)"
2025/04/18/03:08:21.246323,[],0,"(41602, 24, 210, 41341, 0, 210, 41628, 31, 2290)"
2025/04/18/03:08:21.346064,[],0,"(41602, 24, 310, 41341, 0, 310, 41628, 31, 2390)"
2025/04/18/03:08:21.446293,[],0,"(41602, 24, 410, 41341, 0, 410, 41628, 31, 2490)"
2025/04/18/03:08:21.545600,[],0,"(41602, 24, 510, 41341, 0, 510, 41628, 31, 2590)"
2025/04/18/03:08:21.646075,[],0,"(41602, 24, 610, 41341, 0, 610, 41628, 31, 2690)"
2025/04/18/03:08:21.746577,[],0,"(41602, 24, 710, 41341, 0, 710, 41628, 31, 2790)"
2025/04/18/03:08:21.850953,[],0,"(41602, 24, 810, 41341, 0, 810, 41628, 31, 2890)"
2025/04/18/03:08:21.950114,[],0,"(41602, 24, 910, 41341, 0, 910, 41628, 31, 2990)"
2025/04/18/03:08:22.045905,[],0,"(41602, 24, 60, 41341, 0, 60, 41628, 31, 3090)"
2025/04/18/03:08:22.147269,[],0,"(41602, 24, 160, 41341, 0, 160, 41628, 31, 3190)"
2025/04/18/03:08:22.247994,[],0,"(41602, 24, 260, 41341, 0, 260, 41628, 31, 3290)"
2025/04/18/03:08:22.349748,[],0,"(41602, 24, 360, 41341, 0, 360, 41628, 31, 3390)"
2025/04/18/03:08:22.448004,[],0,"(41602, 24, 460, 41341, 0, 460, 41628, 31, 3490)"
2025/04/18/03:08:22.547409,[],0,"(41602, 24, 560, 41341, 0, 560, 41628, 31, 3590)"
2025/04/18/03:08:22.646157,[],0,"(41602, 24, 660, 41341, 0, 660, 41628, 31, 3690)"
2025/04/18/03:08:22.750389,[],0,"(41602, 24, 760, 41341, 0, 760, 41628, 31, 3790)"
2025/04/18/03:08:22.848399,[],0,"(41602, 24, 860, 41341, 0, 860, 41628, 31, 3890)"
2025/04/18/03:08:22.946543,[],0,"(41602, 24, 960, 41341, 0, 960, 41628, 31, 3990)"
