time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:17:32.542982,[],0,"(41628, -70, -66, -66, -67)"
2025/04/18/03:17:32.543136,[],0,"(41628, -67, -64, -64, -67)"
2025/04/18/03:17:32.543363,[],0,"(41341, -69, -70, -73, -70)"
2025/04/18/03:17:32.543443,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:32.543585,[],0,"(41602, -52, -51, -49, -56)"
2025/04/18/03:17:32.543676,[],0,"(41628, -66, -63, -63, -63)"
2025/04/18/03:17:32.543683,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:32.543794,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:32.543800,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:32.543928,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:32.543933,[],0,"(41628, -68, -67, -66, -67)"
2025/04/18/03:17:32.544033,[],0,"(41628, -68, -67, -66, -67)"
2025/04/18/03:17:32.544139,[],0,"(41628, -67, -66, -66, -66)"
2025/04/18/03:17:32.643371,[],0,"(41628, -68, -66, -67, -66)"
2025/04/18/03:17:32.643688,[],0,"(41628, -68, -65, -66, -66)"
2025/04/18/03:17:32.643772,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:32.643898,[],0,"(41341, -69, -70, -76, -70)"
2025/04/18/03:17:32.644014,[],0,"(41602, -53, -53, -51, -57)"
2025/04/18/03:17:32.644022,[],0,"(41628, -65, -61, -63, -64)"
2025/04/18/03:17:32.644138,[],0,"(41628, -69, -65, -65, -66)"
2025/04/18/03:17:32.644247,[],0,"(41628, -69, -65, -65, -67)"
2025/04/18/03:17:32.644390,[],0,"(41628, -69, -66, -65, -67)"
2025/04/18/03:17:32.644522,[],0,"(41341, -69, -70, -74, -70)"
2025/04/18/03:17:32.644741,[],0,"(41628, -69, -66, -65, -67)"
2025/04/18/03:17:32.644971,[],0,"(41628, -72, -69, -69, -69)"
2025/04/18/03:17:32.645296,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:32.645418,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:32.743320,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:32.743464,[],0,"(41628, -69, -67, -67, -67)"
2025/04/18/03:17:32.743622,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:32.743832,[],0,"(41341, -69, -71, -75, -70)"
2025/04/18/03:17:32.743951,[],0,"(41602, -55, -54, -52, -58)"
2025/04/18/03:17:32.743957,[],0,"(41628, -65, -63, -64, -64)"
2025/04/18/03:17:32.744087,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.744203,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.744322,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.744514,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.744652,[],0,"(41628, -67, -66, -66, -66)"
2025/04/18/03:17:32.744660,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:32.744744,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:32.843815,[],0,"(41628, -69, -66, -65, -66)"
2025/04/18/03:17:32.844271,[],0,"(41628, -69, -65, -66, -67)"
2025/04/18/03:17:32.845200,[],0,"(41628, -70, -65, -65, -66)"
2025/04/18/03:17:32.846202,[],0,"(41341, -69, -70, -76, -71)"
2025/04/18/03:17:32.846445,[],0,"(41628, -66, -62, -63, -64)"
2025/04/18/03:17:32.846722,[],0,"(41628, -70, -65, -66, -67)"
2025/04/18/03:17:32.846901,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:32.847008,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:32.847028,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:32.847053,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:32.847176,[],0,"(41628, -71, -69, -69, -69)"
2025/04/18/03:17:32.847188,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:32.943416,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.943460,[],0,"(41628, -68, -66, -66, -66)"
2025/04/18/03:17:32.943470,[],0,"(41628, -68, -65, -66, -66)"
2025/04/18/03:17:32.943480,[],0,"(41341, -69, -69, -74, -70)"
2025/04/18/03:17:32.943666,[],0,"(41602, -54, -53, -52, -58)"
2025/04/18/03:17:32.943684,[],0,"(41628, -66, -62, -64, -63)"
2025/04/18/03:17:32.943701,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:32.943734,[],0,"(41628, -68, -65, -65, -66)"
2025/04/18/03:17:32.943810,[],0,"(41628, -69, -66, -65, -67)"
2025/04/18/03:17:32.943820,[],0,"(41628, -69, -66, -66, -67)"
2025/04/18/03:17:32.943832,[],0,"(41628, -68, -65, -65, -66)"
2025/04/18/03:17:32.943993,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:32.944003,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:33.043369,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:33.043512,[],0,"(41628, -68, -66, -67, -66)"
2025/04/18/03:17:33.043904,[],0,"(41628, -69, -65, -67, -66)"
2025/04/18/03:17:33.044025,[],0,"(41341, -69, -70, -76, -70)"
2025/04/18/03:17:33.044139,[],0,"(41602, -54, -53, -52, -58)"
2025/04/18/03:17:33.044152,[],0,"(41628, -65, -62, -64, -64)"
2025/04/18/03:17:33.044158,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:33.044330,[],0,"(41628, -67, -66, -65, -66)"
2025/04/18/03:17:33.044343,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.044396,[],0,"(41628, -69, -65, -66, -66)"
2025/04/18/03:17:33.044410,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.044586,[],0,"(41628, -68, -67, -66, -67)"
2025/04/18/03:17:33.044598,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.143461,[],0,"(41628, -69, -67, -67, -67)"
2025/04/18/03:17:33.144023,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:33.144495,[],0,"(41628, -69, -67, -66, -66)"
2025/04/18/03:17:33.145040,[],0,"(41341, -70, -70, -77, -70)"
2025/04/18/03:17:33.145712,[],0,"(41602, -54, -53, -52, -57)"
2025/04/18/03:17:33.145903,[],0,"(41628, -66, -62, -64, -64)"
2025/04/18/03:17:33.146131,[],0,"(41628, -69, -66, -66, -66)"
2025/04/18/03:17:33.146577,[],0,"(41628, -70, -66, -66, -66)"
2025/04/18/03:17:33.146919,[],0,"(41628, -70, -66, -66, -66)"
2025/04/18/03:17:33.147098,[],0,"(41628, -70, -67, -65, -66)"
2025/04/18/03:17:33.147114,[],0,"(41628, -72, -70, -69, -70)"
2025/04/18/03:17:33.147130,[],0,"(41628, -65, -67, -67, -67)"
2025/04/18/03:17:33.147141,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:33.243462,[],0,"(41628, -69, -67, -67, -67)"
2025/04/18/03:17:33.244435,[],0,"(41628, -69, -68, -67, -66)"
2025/04/18/03:17:33.244685,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:33.244905,[],0,"(41341, -70, -70, -74, -70)"
