time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:25:19.374727,[],0,"(41602, 0, 990, 41341, 0, 980, 41628, 0, 980)"
2025/04/18/02:25:19.490865,[],0,"(41602, 0, 110, 41341, 0, 110, 41628, 0, 110)"
2025/04/18/02:25:19.571975,[],0,"(41602, 0, 190, 41341, 0, 190, 41628, 0, 190)"
2025/04/18/02:25:19.670497,[],0,"(41602, 0, 290, 41341, 0, 290, 41628, 0, 290)"
2025/04/18/02:25:19.773389,[],0,"(41602, 0, 20, 41341, 0, 10, 41628, 0, 10)"
2025/04/18/02:25:19.870917,[],0,"(41602, 0, 120, 41341, 0, 110, 41628, 0, 110)"
2025/04/18/02:25:19.973349,[],0,"(41602, 0, 220, 41341, 0, 210, 41628, 0, 210)"
2025/04/18/02:25:20.071981,[],0,"(41602, 0, 320, 41341, 0, 310, 41628, 0, 310)"
2025/04/18/02:25:20.170882,[],0,"(41602, 0, 420, 41341, 0, 410, 41628, 0, 410)"
2025/04/18/02:25:20.270343,[],0,"(41602, 0, 520, 41341, 0, 510, 41628, 0, 510)"
2025/04/18/02:25:20.370719,[],0,"(41602, 0, 620, 41341, 0, 20, 41628, 0, 610)"
2025/04/18/02:25:20.477012,[],0,"(41602, 0, 90, 41341, 0, 90, 41628, 0, 90)"
2025/04/18/02:25:20.571042,[],0,"(41602, 0, 190, 41341, 0, 190, 41628, 0, 190)"
2025/04/18/02:25:20.671278,[],0,"(41602, 0, 290, 41341, 0, 290, 41628, 0, 290)"
2025/04/18/02:25:20.775827,[],0,"(41602, 0, 390, 41341, 0, 390, 41628, 0, 390)"
2025/04/18/02:25:20.871555,[],0,"(41602, 0, 490, 41341, 0, 490, 41628, 0, 490)"
2025/04/18/02:25:20.975332,[],0,"(41602, 0, 590, 41341, 0, 590, 41628, 0, 590)"
2025/04/18/02:25:21.071182,[],0,"(41602, 0, 80, 41341, 0, 690, 41628, 0, 690)"
2025/04/18/02:25:21.170675,[],0,"(41602, 0, 180, 41341, 0, 790, 41628, 0, 790)"
2025/04/18/02:25:21.270198,[],0,"(41602, 0, 280, 41341, 0, 890, 41628, 0, 890)"
2025/04/18/02:25:21.376372,[],0,"(41602, 0, 380, 41341, 0, 990, 41628, 0, 990)"
2025/04/18/02:25:21.470002,[],0,"(41602, 0, 70, 41341, 0, 70, 41628, 0, 70)"
2025/04/18/02:25:21.575972,[],0,"(41602, 0, 170, 41341, 0, 170, 41628, 0, 170)"
2025/04/18/02:25:21.669912,[],0,"(41602, 0, 270, 41341, 0, 270, 41628, 0, 270)"
2025/04/18/02:25:21.769993,[],0,"(41602, 0, 370, 41341, 0, 370, 41628, 0, 370)"
