time,.layout.dim,.layout.data_offset,.data
2025/04/18/02:29:18.730977,[],0,"(41628, -49, -53, -55, -51)"
2025/04/18/02:29:18.732107,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.732266,[],0,"(41628, -56, -61, -62, -58)"
2025/04/18/02:29:18.732514,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.732800,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.733288,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.733544,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.733837,[],0,"(41628, -50, -54, -55, -52)"
2025/04/18/02:29:18.734088,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.734281,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.734376,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.734384,[],0,"(41602, -56, -61, -55, -58)"
2025/04/18/02:29:18.831036,[],0,"(41341, -52, -50, -50, -49)"
2025/04/18/02:29:18.831958,[],0,"(41628, -49, -53, -54, -51)"
2025/04/18/02:29:18.832168,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.832353,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.832527,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.832532,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.832814,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.833097,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.833482,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.833704,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.833843,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.833850,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.833853,[],0,"(41602, -56, -61, -55, -58)"
2025/04/18/02:29:18.930927,[],0,"(41341, -53, -49, -50, -49)"
2025/04/18/02:29:18.931053,[],0,"(41628, -49, -53, -55, -52)"
2025/04/18/02:29:18.931060,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931063,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931243,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931252,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:18.931260,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931271,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931418,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931427,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:18.931444,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.030895,[],0,"(41602, -56, -62, -56, -59)"
2025/04/18/02:29:19.030993,[],0,"(41341, -53, -50, -50, -49)"
2025/04/18/02:29:19.031119,[],0,"(41628, -49, -53, -55, -52)"
2025/04/18/02:29:19.031130,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031139,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031310,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031421,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031564,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031572,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.031584,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.130825,[],0,"(41602, -57, -61, -56, -58)"
2025/04/18/02:29:19.131037,[],0,"(41341, -53, -50, -50, -49)"
2025/04/18/02:29:19.131053,[],0,"(41628, -49, -53, -55, -51)"
2025/04/18/02:29:19.131063,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.131395,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131609,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131624,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131633,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131844,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131862,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131881,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.131996,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.230872,[],0,"(41602, -57, -61, -56, -58)"
2025/04/18/02:29:19.231001,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.231037,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.231048,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.231255,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.231271,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.231287,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.231505,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.231758,[],0,"(41341, -58, -55, -56, -54)"
2025/04/18/02:29:19.231940,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.232036,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.232050,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.330784,[],0,"(41602, -56, -61, -55, -58)"
2025/04/18/02:29:19.330935,[],0,"(41341, -52, -49, -50, -49)"
2025/04/18/02:29:19.331105,[],0,"(41628, -49, -53, -55, -52)"
2025/04/18/02:29:19.331232,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.331323,[],0,"(41628, -56, -60, -62, -58)"
2025/04/18/02:29:19.331490,[],0,"(41628, -56, -60, -61, -58)"
2025/04/18/02:29:19.331501,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.331620,[],0,"(41628, -56, -60, -62, -59)"
2025/04/18/02:29:19.331748,[],0,"(41602, -59, -63, -58, -61)"
2025/04/18/02:29:19.331871,[],0,"(41628, -56, -60, -62, -58)"
